 Spa.1 Spa.2 Spa.3 Spa.4 Rho  Dev.  M   Sp   Vp   In  
 1.00 3.00 4.00 6.00 22527.22 0.46 0.00 -26.01 -7223.254 3.778
 1.00 3.00 6.00 8.00 35233.30 0.47 0.00 -75.34 -1613.916 3.778
 1.00 3.00 8.00 10.00 13943.17 0.66 0.00 145.83 -212.896 3.778
 1.00 3.00 10.00 12.00 18233.22 0.33 0.00 -114.77 -126.546 3.778
 1.00 3.00 12.00 14.00 13464.57 0.71 0.00 87.60 -50.319 3.778
 1.00 3.00 14.00 5.00 25081.96 0.48 0.00 -27.72 3558.982 3.778
 1.00 3.00 5.00 7.00 24640.22 0.48 0.00 -6.68 -2468.994 3.778
 1.00 3.00 7.00 9.00 34738.09 0.47 0.00 -130.11 -870.205 3.778
 1.00 3.00 9.00 11.00 12056.59 0.65 0.00 237.20 -120.809 3.778
 1.00 3.00 11.00 13.00 15918.44 0.63 0.00 -93.44 -79.753 3.778
 1.00 3.00 13.00 15.00 15904.28 1.03 0.00 -60.41 -57.993 4.811
 1.00 5.00 13.00 17.00 13041.37 0.05 0.00 -39.35 -182.632 4.224
 1.00 5.00 17.00 21.00 14126.02 0.67 0.00 28.65 -79.129 4.224
 1.00 5.00 21.00 25.00 9845.50 0.15 0.00 12.62 -27.575 4.224
 1.00 5.00 25.00 29.00 9367.36 0.27 0.00 -40.65 -14.992 4.224
 1.00 5.00 29.00 14.00 12250.51 0.16 0.00 61.17 232.513 4.224
 1.00 5.00 14.00 18.00 13861.28 0.18 0.00 -48.30 -149.904 4.224
 1.00 5.00 18.00 22.00 10077.04 0.05 0.00 92.80 -46.705 4.224
 1.00 5.00 22.00 26.00 12469.46 1.26 0.00 -106.81 -30.053 4.224
 1.00 5.00 26.00 30.00 6429.65 3.24 0.00 51.20 -9.084 4.224
 1.00 5.00 15.00 19.00 13408.25 0.13 0.00 -59.77 -114.325 4.219
 1.00 5.00 19.00 23.00 9999.16 0.09 0.00 120.13 -38.754 4.219
 1.00 5.00 23.00 27.00 11423.39 0.51 0.00 0.90 -23.840 4.219
 1.00 5.00 27.00 31.00 11096.89 0.22 0.00 29.90 -13.895 4.219
 1.00 5.00 31.00 16.00 11643.88 0.08 0.00 23.05 149.443 4.219
 1.00 5.00 16.00 20.00 11987.48 0.38 0.00 -14.40 -82.160 4.219
 1.00 5.00 20.00 24.00 10766.62 0.49 0.00 -60.59 -35.292 4.219
 1.00 5.00 24.00 28.00 12195.54 0.67 0.00 -36.22 -22.209 4.219
 1.00 7.00 27.00 33.00 7766.28 0.06 0.00 53.86 -34.424 6.436
 1.00 7.00 33.00 39.00 5974.19 0.09 0.00 -128.27 -13.937 6.436
 1.00 7.00 39.00 45.00 7558.21 0.24 0.00 -13.40 -10.419 6.436
 1.00 7.00 45.00 28.00 7032.32 0.04 0.00 28.72 50.380 6.436
 1.00 7.00 28.00 34.00 6670.24 0.09 0.00 43.47 -26.293 6.436
 1.00 7.00 34.00 40.00 7577.23 0.14 0.00 -24.89 -16.083 6.436
 1.00 7.00 40.00 46.00 7283.92 0.24 0.00 72.43 -9.276 6.436
 1.00 7.00 46.00 29.00 7161.70 0.07 0.00 -71.42 46.376 6.436
 1.00 7.00 29.00 35.00 7037.04 0.06 0.00 93.89 -24.781 6.436
 1.00 7.00 35.00 41.00 6997.03 0.05 0.00 -54.49 -13.552 6.436
 1.00 7.00 41.00 47.00 12375.03 2.77 0.00 37.79 -14.574 6.430
 1.00 7.00 47.00 30.00 7574.17 0.91 0.00 -28.79 44.448 6.430
 1.00 7.00 30.00 36.00 5823.80 0.15 0.00 -117.74 -18.380 6.430
 1.00 7.00 36.00 42.00 7857.98 0.17 0.00 164.58 -13.912 6.430
 1.00 7.00 42.00 31.00 4712.36 0.15 0.00 -25.09 20.023 6.430
 1.00 7.00 31.00 37.00 3515.36 0.11 0.00 -80.20 -9.993 6.430
 1.00 7.00 37.00 43.00 7253.57 0.03 0.00 42.95 -11.782 6.430
 1.00 7.00 43.00 32.00 5632.55 0.04 0.00 154.99 21.751 6.430
 1.00 7.00 32.00 38.00 4328.38 0.24 0.00 -166.50 -11.122 6.430
 1.00 7.00 38.00 44.00 8373.99 0.03 0.00 -8.40 -12.510 6.430
 1.00 9.00 41.00 49.00 14450.74 1.22 0.00 -9.22 -45.122 9.417
 1.00 9.00 49.00 57.00 16897.67 1.71 0.00 -2.90 -30.150 9.417
 1.00 9.00 57.00 42.00 15180.81 0.13 0.00 67.80 66.816 9.417
 1.00 9.00 42.00 50.00 14751.35 0.05 0.00 -32.01 -42.686 9.417
 1.00 9.00 50.00 58.00 15753.16 0.32 0.00 39.77 -26.392 9.417
 1.00 9.00 58.00 43.00 15570.62 0.04 0.00 -70.34 63.896 9.417
 1.00 9.00 43.00 51.00 15892.46 0.07 0.00 -47.35 -42.702 9.417
 1.00 9.00 51.00 59.00 14528.03 0.09 0.00 96.12 -22.883 9.417
 1.00 9.00 59.00 44.00 15377.51 0.05 0.00 -68.31 58.933 9.417
 1.00 9.00 44.00 52.00 15651.96 0.05 0.00 30.79 -39.121 9.417
 1.00 9.00 52.00 60.00 376027.53 2.31 0.00 115.58 -557.769 9.421
 1.00 9.00 60.00 45.00 164996.78 2.15 0.00 -203.23 591.723 9.421
 1.00 9.00 45.00 53.00 16036.02 0.34 0.00 9.84 -37.365 9.421
 1.00 9.00 53.00 61.00 13303.38 0.79 0.00 106.80 -18.599 9.421
 1.00 9.00 61.00 46.00 15545.05 0.50 0.00 2.09 52.227 9.421
 1.00 9.00 46.00 54.00 15495.91 0.84 0.00 -71.06 -33.702 9.421
 1.00 9.00 54.00 62.00 -13988.74 4.99 0.00 -8.03 18.454 9.421
 1.00 9.00 62.00 47.00 3191.63 7.68 0.00 89.82 10.060 9.421
 1.00 9.00 47.00 55.00 18643.35 0.00 0.00 -18.03 -37.907 9.421
 1.00 9.00 55.00 63.00 -36324.06 6.41 0.00 -18.14 45.266 9.421
 1.00 9.00 48.00 56.00 18122.79 0.47 0.00 51.85 -34.493 9.419
 2.00 4.00 5.00 7.00 12646.59 1.56 0.00 24.96 -70.497 0.066
 2.00 4.00 14.00 16.00 17719.84 0.73 0.00 31.43 -51.103 3.805
 2.00 4.00 7.00 9.00 45235.50 0.00 0.00 10.88 -1795.824 3.274
 2.00 4.00 9.00 11.00 14829.55 0.15 0.00 -18.86 -196.241 3.274
 2.00 4.00 11.00 13.00 19261.48 0.27 0.00 -94.04 -115.859 3.274
 2.00 4.00 13.00 15.00 18202.92 0.91 0.00 -60.44 -58.957 3.274
 2.00 4.00 15.00 6.00 35431.10 0.00 0.00 42.63 4357.185 3.274
 2.00 4.00 6.00 8.00 42315.61 0.06 0.00 -75.78 -3674.795 3.274
 2.00 4.00 8.00 10.00 18351.19 0.06 0.00 158.01 -398.416 3.274
 2.00 4.00 10.00 12.00 21263.72 0.12 0.00 -128.22 -184.660 3.274
 2.00 4.00 12.00 14.00 16680.06 0.29 0.00 85.76 -72.427 3.274
 2.00 6.00 14.00 18.00 12800.90 0.06 0.00 -50.28 -329.591 7.765
 2.00 6.00 18.00 22.00 9475.81 0.22 0.00 94.78 -97.591 7.765
 2.00 6.00 22.00 26.00 9694.88 1.02 0.00 -106.09 -49.924 7.765
 2.00 6.00 26.00 30.00 7699.64 2.09 0.00 48.17 -22.657 7.765
 2.00 6.00 30.00 15.00 11569.31 0.10 0.00 -67.24 403.721 7.765
 2.00 6.00 15.00 19.00 13304.96 0.12 0.00 -55.47 -264.548 7.765
 2.00 6.00 19.00 23.00 9614.99 0.07 0.00 116.06 -81.934 7.765
 2.00 6.00 23.00 27.00 9040.22 0.10 0.00 1.37 -40.059 7.765
 2.00 6.00 27.00 31.00 10546.34 0.06 0.00 23.45 -27.395 7.765
 2.00 6.00 16.00 20.00 12294.62 0.21 0.00 -20.41 -192.857 7.762
 2.00 6.00 20.00 24.00 9659.71 0.40 0.00 -55.36 -68.875 7.762
 2.00 6.00 24.00 28.00 8826.23 0.25 0.00 -37.65 -33.887 7.762
 2.00 6.00 28.00 32.00 8860.12 0.17 0.00 198.99 -20.410 7.762
 2.00 6.00 32.00 17.00 11128.77 0.13 0.00 -172.92 262.769 7.762
 2.00 6.00 17.00 21.00 13193.33 0.13 0.00 22.41 -166.356 7.762
 2.00 6.00 21.00 25.00 8499.02 0.15 0.00 13.00 -51.253 7.762
 2.00 6.00 25.00 29.00 9676.42 0.14 0.00 -41.74 -32.418 7.762
 2.00 8.00 28.00 34.00 8645.48 0.05 0.00 36.37 -39.142 6.574
 2.00 8.00 34.00 40.00 9239.86 0.14 0.00 -15.72 -22.017 6.574
 2.00 8.00 40.00 46.00 9366.39 0.05 0.00 72.51 -13.188 6.574
 2.00 8.00 46.00 29.00 9093.92 0.03 0.00 -74.60 66.545 6.574
 2.00 8.00 29.00 35.00 8918.43 0.04 0.00 95.07 -35.908 6.574
 2.00 8.00 35.00 41.00 8877.83 0.00 0.00 -52.32 -19.247 6.574
 2.00 8.00 41.00 47.00 11570.60 0.12 0.00 44.13 -15.051 6.574
 2.00 8.00 47.00 30.00 8721.27 0.03 0.00 -37.60 57.686 6.574
 2.00 8.00 30.00 36.00 7585.93 0.09 0.00 -116.79 -27.287 6.574
 2.00 8.00 36.00 42.00 9548.29 0.10 0.00 166.09 -18.890 6.574
 2.00 8.00 42.00 48.00 12516.72 0.67 0.00 -65.76 -15.061 6.569
 2.00 8.00 48.00 31.00 7193.39 0.18 0.00 31.10 43.128 6.569
